Episode,Reward
0,-10472.309616511688
1,-7611.1097334790975
2,-203.009996348992
3,-402.9399883374572
4,-141.38999830931425
5,-143.79999843612313
6,-139.7799983844161
7,-156.30999783985317
8,-139.16999872215092
9,-141.72999862395227
10,-136.16999882273376
11,-138.28999777138233
12,-136.30999845825136
13,-133.22999847121537
14,-136.4799984432757
15,-142.41999839246273
16,-118.97999843209982
17,-148.36999850533903
18,-112.81999797001481
19,-132.71999753452837
20,-121.7999981045723
21,-114.24999856203794
22,-110.95999830961227
23,-115.53999848291278
24,-126.52999837510288
25,-131.30999854765832
26,-103.32999849133193
27,-4384.45972622931
28,98.54001332819462
29,763.4599922373891
30,837.939988810569
31,702.4799934681505
32,-454.2199717257172
33,665.4399946052581
34,-106.90998327732086
35,-16.38998488523066
36,-380.68997319601476
37,682.8599941246212
38,785.0199898723513
39,571.1299966853112
40,255.53000558167696
41,606.1099940482527
42,33.88001307845116
43,800.8799907770008
44,796.9599892478436
45,-30.809983948245645
46,745.4899915400892
47,782.9099894780666
48,532.0699971932918
49,557.7699984628707
50,561.3399978838861
51,810.9999892991036
52,721.3499904107302
53,602.8699965365231
54,801.4799889270216
55,682.0499929487705
56,699.8299909252673
57,568.7699965722859
58,618.6099928785115
59,788.9999895617366
60,793.2699895817786
61,334.1900039780885
62,726.2799911405891
63,803.6499891020358
64,-103.21998502314091
65,720.8399912957102
66,582.4099964965135
67,807.6299895253032
68,703.7099896054715
69,726.9599893130362
70,357.0500032957643
71,733.7399899251759
72,819.0499893203378
73,824.6699886284769
74,827.039989463985
75,-2756.269895700738
76,545.9899974446744
77,712.1099902652204
78,706.3899914454669
79,890.7599878199399
80,888.7399881333113
81,755.5599901322275
82,676.039991851896
83,663.6199939157814
84,765.109990330413
85,685.1099913287908
86,724.6099905818701
87,-1.8799845445901155
88,687.3799922354519
89,261.9700056947768
90,715.5999901928008
91,630.8299963288009
92,747.139990016818
93,685.6799908876419
94,729.509990574792
95,803.8199889734387
96,671.6999906245619
97,687.079991094768
98,828.8199892211705
99,707.7999913394451
100,816.5199884772301
101,659.4699945207685
102,549.0699966773391
103,823.719988271594
104,833.0599885843694
105,671.7199906259775
106,704.8099902831018
107,748.8499906938523
108,671.5899913478643
109,663.1799914482981
110,41.84001453593373
111,660.2099916022271
112,637.4599912464619
113,831.5899882744998
114,790.2899884153157
115,748.0399894528091
116,711.4899910949171
117,794.4199885427952
118,818.4799885861576
119,766.0099894106388
120,535.3299979381263
121,738.2299915943295
122,830.9899885747582
123,728.6099898070097
124,736.379989977926
125,745.259991409257
126,829.8599895872176
127,544.1099959593266
128,738.6599905453622
129,739.2699904479086
130,834.2699882406741
131,849.559987552464
132,258.1400063857436
133,17.680014815181494
134,584.549996914342
135,630.0199913736433
136,794.6099883802235
137,648.1499912776053
138,598.9999941252172
139,527.0999938901514
140,551.459994668141
141,559.1199940107763
142,624.4899941179901
143,528.0799950920045
144,842.6699873823673
145,598.0599963795394
146,829.9799900837243
147,796.1099897306412
148,659.129991164431
149,758.539990702644
150,483.8699989132583
151,748.9299916457385
152,706.7299901191145
153,779.5999897457659
154,386.1200028527528
155,564.8099918495864
156,523.4699932578951
157,537.4399924650788
158,605.4599913991988
159,585.9899915102869
160,599.6899920571595
161,628.9899913091213
162,554.3599936105311
163,766.4299899470061
164,548.699993930757
165,534.2899928260595
166,597.2099924720824
167,595.8399923481047
168,565.589993128553
169,636.149993037805
170,569.8499944712967
171,787.0199907403439
172,656.3099913205951
173,744.3999897539616
174,289.62000615894794
175,551.8599930517375
176,-837.0799592491239
177,638.6699912119657
178,680.5299903508276
179,760.6599912419915
180,837.2399886213243
181,823.909988399595
182,422.2700002603233
183,763.9899887312204
184,852.8799880892038
185,-156.82997702620924
186,509.41999606974423
187,738.049990395084
188,528.9299938622862
189,472.04999510012567
190,510.30999442748725
191,506.22999448515475
192,530.5799969360232
193,392.0599960722029
194,515.989993698895
195,429.3799966275692
196,395.89999644458294
197,350.07999661937356
198,511.639995187521
199,408.0899978764355
200,375.4999980274588
201,382.67999782785773
202,443.93999569118023
203,415.0499976836145
204,825.4399879276752
205,598.5699915774167
206,118.37001100368798
207,820.7199892420322
208,671.3499910403043
209,833.6699884012341
210,885.7199878394604
211,854.3399882353842
212,851.0699884071946
213,833.7299876976758
214,791.2199904993176
215,686.3399908617139
216,821.8099885582924
217,724.2999904192984
218,725.4099895488471
219,800.6199884340167
220,640.459993487224
221,672.549991035834
222,229.39000655896962
223,590.7899959366769
224,480.48999757133424
225,461.1800028886646
226,818.189987713471
227,-160.48998094908893
228,835.1699879784137
229,439.11000136472285
230,832.3399880565703
231,822.439988784492
232,817.5399888828397
233,676.1499921549112
234,560.1099943760782
235,597.8499919231981
236,569.7199936602265
237,370.49999751895666
238,424.0199964158237
239,485.02999498695135
240,710.6699904464185
241,488.0299947708845
242,619.4799918234348
