Episode,Reward
0,-2670.0000339746475
1,-538.8999963849783
2,-1995.8000200092793
3,-539.0000024735928
4,-170.59999386966228
5,-11.89999008178711
6,-235.6999962925911
7,-793.1000086665154
8,-583.5000019520521
9,631.3000177741051
10,-354.8999987989664
11,-371.999999165535
12,-733.2000045925379
13,139.8000103533268
14,543.2000176459551
15,240.50001245737076
16,490.1000152528286
17,573.4000161737204
18,23.700009062886238
19,591.0000179708004
20,446.500015810132
21,228.50001007318497
22,387.7000142335892
23,440.90001548826694
24,602.5000183284283
25,671.7000197768211
26,535.500017106533
27,496.8000167161226
28,511.9000165760517
29,360.5000134855509
30,367.10001373291016
31,260.70001251995564
32,589.8000183403492
33,504.40001697838306
34,153.10001002252102
35,296.4000123590231
36,365.700013846159
37,486.2000153809786
38,416.20001405477524
39,330.10001243650913
40,418.40001529455185
41,276.7000117599964
42,-31.49999238550663
43,401.0000140964985
44,375.4000135064125
45,313.40001271665096
46,364.10001339018345
47,250.6000114530325
48,426.10001470148563
49,353.30001309514046
50,320.00001384317875
51,206.40000879764557
52,350.80001316964626
53,224.40001030266285
54,503.2000163793564
55,320.30001279711723
56,427.6000150889158
57,272.3000110834837
58,200.20000959932804
